"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 718.6000, -68.680,  718.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 718.8000, -68.642,  718.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 719.0000, -68.594,  719.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 719.2000, -68.604,  719.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 719.4000, -68.548,  719.4000, -89.917,  , ,  , ,  , ,  , ,  , 
 719.6000, -68.482,  719.6000, -97.077,  , ,  , ,  , ,  , ,  , 
 719.8000, -68.455,  719.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 720.0000, -68.479,  720.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 720.2000, -68.498,  720.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 720.4000, -68.498,  720.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 720.6000, -68.504,  720.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 720.8000, -68.522,  720.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 721.0000, -68.582,  721.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 721.2000, -68.612,  721.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 721.4000, -68.651,  721.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 721.6000, -68.681,  721.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 721.8000, -68.667,  721.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 722.0000, -68.652,  722.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 722.2000, -68.614,  722.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 722.4000, -68.562,  722.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 722.6000, -68.536,  722.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 722.8000, -68.529,  722.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 723.0000, -68.488,  723.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 723.2000, -68.458,  723.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 723.4000, -68.512,  723.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 723.6000, -68.581,  723.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 723.8000, -68.604,  723.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 724.0000, -68.610,  724.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 724.2000, -68.599,  724.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 724.4000, -68.578,  724.4000,-210.000,  , ,  , ,  , ,  , ,  , 
